basisOfRecord,class,date_end,date_start,date_year,decimalLatitude,decimalLongitude,depth,eventDate,family,genus,kingdom,locality,marine,maximumDepthInMeters,minimumDepthInMeters,modified,occurrenceStatus,order,phylum,scientificName,species,flags,bathymetry,shoredistance,sst,sss,brackish,subphylum
Occurrence,Polychaeta,1210636800000.0,1210636800000.0,2008.0,51.71632,-4.623,0.0,2008-05-13,Glyceridae,Glycera,Animalia,,True,0.0,0.0,2018-04-09 15:18:52,present,Phyllodocida,Annelida,Glycera tridactyla,Glycera tridactyla,[],4.0,1984,12.22,33.22,False,
Occurrence,Hydrozoa,1308441600000.0,1308441600000.0,2011.0,52.93234,1.83349,34.0,2011-06-19,Tubulariidae,,Animalia,,True,34.0,34.0,2018-04-09 15:18:52,present,Anthoathecata,Cnidaria,Tubulariidae,,[],19.2,22052,11.11,34.25,True,Medusozoa
MaterialSample,Thermoplasmata,1525910400000.0,1525910400000.0,2018.0,-32.0,115.41667,0.0,2018-05-10T15:21:00Z,,,Archaea,Rottnest Island,True,0.0,0.0,2022-08-01T03:53:51Z,present,,Euryarchaeota,Thermoplasmata,,[],43.0,3903,20.89,35.53,,
HumanObservation,Teleostei,1467849600000.0,1467849600000.0,2016.0,24.59557,-81.2252,9.3,2016-07-07,Chaetodontidae,Chaetodon,Animalia,,True,9.3,9.3,2017-01-15,present,Acanthuriformes,Chordata,Chaetodon ocellatus,Chaetodon ocellatus,[],9.0,8229,26.9,36.05,False,Vertebrata
PreservedSpecimen,Copepoda,1329782400000.0,1329782400000.0,2012.0,-58.9982,91.8233,10.0,2012-02-21 22:30:00Z,Clausocalanidae,Clausocalanus,Animalia,Southern Ocean,True,20.0,0.0,2024-08-02 01:32:56,present,Calanoida,Arthropoda,Clausocalanus brevipes,Clausocalanus brevipes,[],4490.0,701886,0.37,33.84,False,Crustacea
MATERIAL_SAMPLE,Bacteroidia,1400198400000.0,1400198400000.0,2014.0,-34.1192,151.2267,25.0,2014-05-16,,,Bacteria,Port Hacking NRS,True,25.0,25.0,,,,Bacteroidetes,Bacteroidia,,[],110.0,6161,20.37,35.54,,
HumanObservation,Teleostei,1414022400000.0,1414022400000.0,2014.0,25.64875,-80.09226,11.8,2014-10-23,Lutjanidae,Lutjanus,Animalia,,True,11.8,11.8,2017-01-15,present,Eupercaria incertae sedis,Chordata,Lutjanus analis,Lutjanus analis,[],9.0,6571,27.0,36.03,True,Vertebrata
Occurrence,Hydrozoa,836870400000.0,836870400000.0,1996.0,54.9811,-8.456544,10.0,1996-07-09T13:40:19,Sertulariidae,Dynamena,Animalia,,True,11.5,8.5,2022-01-18 09:29:51,present,Leptothecata,Cnidaria,Dynamena pumila,Dynamena pumila,[],-4.0,42,11.61,35.11,False,Medusozoa
MATERIAL_SAMPLE,Pyramimonadophyceae,1299888000000.0,1299888000000.0,2011.0,-34.0614,-73.1066,5.0,2011-03-12,Pyramimonadaceae,Halosphaera,Plantae,,True,5.0,5.0,,,Pyramimonadales,Chlorophyta,Halosphaera,,[],5274.0,101316,14.81,34.15,,Prasinophytina
Occurrence,Copepoda,1282694400000.0,1282694400000.0,2010.0,59.81515,21.336716666667,53.5,2010-08-25T05:19:19+00:00,Centropagidae,Centropages,Animalia,,True,87.0,20.0,2018-12-21 14:25:29,present,Calanoida,Arthropoda,Centropages hamatus,Centropages hamatus,[],70.4,1332,8.36,5.86,False,Crustacea
HumanObservation,Bacillariophyceae,,,,63.105,-3.775,7.5,,Rhizosoleniaceae,Proboscia,Chromista,,True,10.0,5.0,2024-12-19 17:27:59.033,,Rhizosoleniales,Heterokontophyta,Proboscia alata,Proboscia alata,['NO_ACCEPTED_NAME'],2398.0,152261,7.92,35.03,,Bacillariophytina
HumanObservation,Teleostei,840412800000.0,840412800000.0,1996.0,48.66,-63.27166667,203.0,1996-08-19,Pleuronectidae,Glyptocephalus,Animalia,Quebec,True,203.0,203.0,,Present,Pleuronectiformes,Chordata,Glyptocephalus cynoglossus,Glyptocephalus cynoglossus,[],200.0,63982,6.52,27.93,False,Vertebrata
HumanObservation,Gastropoda,893721600000.0,830390400000.0,1997.0,42.2521667,-8.7668333,40.0,1996-04-25/1998-04-28,Cerithiidae,Bittium,Animalia,"Cangas inlet, ria de Vigo,Galicia.",True,80.0,0.0,,present,Caenogastropoda incertae sedis,Mollusca,Bittium reticulatum,Bittium reticulatum,['DEPTH_EXCEEDS_BATH'],8.8,606,15.34,35.32,,
Occurrence,Teleostei,985132800000.0,985132800000.0,2001.0,52.2833,4.1333,15.0,2001-03-21T10:46:00+00:00,Gadidae,Merlangius,Animalia,,True,15.0,,2011-01-01 00:00:00,present,Gadiformes,Chordata,Merlangius merlangus,Merlangius merlangus,[],21.2,19517,12.04,30.73,True,Vertebrata
MaterialSample,Dinophyceae,1454284800000.0,1454284800000.0,2016.0,-34.11923,151.22667,10.0,2016-02-01T13:52:00Z,,,Chromista,Port Hacking,True,10.0,10.0,2022-07-30T18:18:35Z,present,,Myzozoa,Dinophyceae,,[],110.0,6160,20.37,35.54,True,Dinozoa
MaterialSample,Alphaproteobacteria,1463702400000.0,1463702400000.0,2016.0,-46.7187,-170.911483,64.2,2016-05-20T03:59:00Z,,,Bacteria,4233,True,64.2,64.2,2022-08-03T01:14:23Z,present,,Proteobacteria,Alphaproteobacteria,,[],5276.0,467315,11.82,34.7,True,
HumanObservation,Teleostei,795744000000.0,795744000000.0,1995.0,28.713889,-96.630556,0.2,1995-03-21 13:37:00,Sciaenidae,Leiostomus,Animalia,Lavaca-Colorado Estuary,True,0.3,0.1,2021-11-14,Present,Eupercaria incertae sedis,Chordata,Leiostomus xanthurus,Leiostomus xanthurus,[],-1.0,132,23.95,32.88,True,Vertebrata
Occurrence,Florideophyceae,832550400000.0,832550400000.0,1996.0,52.32174,-10.00237,7.5,1996-05-20,Dumontiaceae,Dilsea,Plantae,,True,8.0,7.0,2022-01-18 09:29:51,present,Gigartinales,Rhodophyta,Dilsea carnosa,Dilsea carnosa,[],7.0,626,12.03,34.84,,Eurhodophytina
Occurrence,Elasmobranchii,447552000000.0,447552000000.0,1984.0,44.4333,-59.3667,31.0,1984-03-08T07:55:00,Rajidae,Amblyraja,Animalia,,True,62.0,0.0,2023-11-24 15:33:32,present,Rajiformes,Chordata,Amblyraja radiata,Amblyraja radiata,[],123.0,47862,8.81,30.97,True,Vertebrata
MATERIAL_SAMPLE,Gammaproteobacteria,1254355200000.0,1254355200000.0,2009.0,56.15,10.32,160.0,2009-10-01,Colwelliaceae,,Bacteria,Aarhus Bay,True,160.0,160.0,,,Alteromonadales,Proteobacteria,Colwelliaceae,,['DEPTH_EXCEEDS_BATH'],15.0,4019,10.16,18.08,,
MATERIAL_SAMPLE,Alphaproteobacteria,1466035200000.0,1466035200000.0,2016.0,-13.8176,-169.999,1035.0,2016-06-16,Hyphomonadaceae,,Bacteria,,True,1035.0,1035.0,,,Rhodobacterales,Proteobacteria,Hyphomonadaceae,,[],4316.0,51175,28.78,35.14,,
MaterialSample,Thermoplasmata,1558915200000.0,1558915200000.0,2019.0,-19.30847,147.61842,26.0,2019-05-27T14:25:00Z,,,Archaea,Yongala,True,26.0,26.0,2022-08-01T03:04:51Z,present,,Euryarchaeota,Thermoplasmata,,[],28.42,18574,25.57,35.25,,
MaterialSample,Flavobacteria,1437609600000.0,1437609600000.0,2015.0,-32.0,115.41667,0.0,2015-07-23T15:20:00Z,Cryomorphaceae,,Bacteria,Rottnest Island,True,0.0,0.0,2022-08-01T06:12:44Z,present,Flavobacteriales,Bacteroidetes,Cryomorphaceae,,[],43.0,3903,20.89,35.53,,
HumanObservation,Demospongiae,1424995200000.0,1424995200000.0,2015.0,12.00934867,-117.17820617,4148.0,2015-02-27T19:37:00,Axinellidae,,Animalia,,True,4148.0,4148.0,,present,Axinellida,Porifera,Axinellidae,,[],4184.0,750393,27.61,33.57,False,
HumanObservation,Malacostraca,267926400000.0,267926400000.0,1978.0,56.7006,-153.5514,49.5,1978-06-29T16:22:48Z,,,Animalia,,True,72.0,27.0,,present,Decapoda,Arthropoda,Decapoda,,[],153.0,18245,6.72,31.72,True,Crustacea
PreservedSpecimen,Copepoda,1352678400000.0,1352678400000.0,2012.0,-56.9547,125.4662,10.0,2012-11-12 12:37:00Z,Rhincalanidae,Rhincalanus,Animalia,Southern Ocean,True,20.0,0.0,2024-08-02 01:32:56,present,Calanoida,Arthropoda,Rhincalanus gigas,Rhincalanus gigas,[],4640.0,1034509,2.54,33.83,False,Crustacea
Occurrence,Teleostei,1061337600000.0,1061337600000.0,2003.0,55.308,5.4853,45.0,2003-08-20T12:15:00+00:00,Callionymidae,Callionymus,Animalia,,True,45.0,,2011-01-01 00:00:00,present,Callionymiformes,Chordata,Callionymus lyra,Callionymus lyra,[],44.6,165739,11.01,34.64,False,Vertebrata
Occurrence,Copepoda,1644451200000.0,1644451200000.0,2022.0,54.20666667,13.56633333,4.0,2022-02-10T09:00:00,Temoridae,Temora,Animalia,,True,8.0,0.0,2025-05-13 16:20:21,present,Calanoida,Arthropoda,Temora longicornis,Temora longicornis,[],8.6,7621,10.36,7.26,False,Crustacea
Occurrence,Bacillariophyceae,-556416000000.0,-556416000000.0,1952.0,44.62281,33.5087,10.0,1952-05-15T12:30:00+02:00,Chaetocerotaceae,Chaetoceros,Chromista,Sevastopol Bay,True,10.0,10.0,2013-02-14 09:58:53,present,Chaetocerotanae incertae sedis,Heterokontophyta,Chaetoceros radians,Chaetoceros radians,['NO_ACCEPTED_NAME'],0.2,198,16.03,18.75,,Bacillariophytina
Occurrence,Malacostraca,654998400000.0,654998400000.0,1990.0,51.606095,3.915788,7.9,1990-10-04,Urothoidae,Urothoe,Animalia,Oosterschelde,True,7.9,7.9,2023-04-05 17:28:04,present,Amphipoda,Arthropoda,Urothoe poseidonis,Urothoe poseidonis,[],4.6,2469,12.1,30.43,False,Crustacea
PreservedSpecimen,Malacostraca,430790400000.0,430790400000.0,1983.0,58.0367,5.6167,7.5,1983-08-27T09:47:00+00:00,,,Animalia,,True,10.0,5.0,2020-09-01 12:26:06,present,Decapoda,Arthropoda,Decapoda,,[],274.8,44873,10.33,32.25,True,Crustacea
HumanObservation,Teleostei,837388800000.0,837388800000.0,1996.0,24.454,-81.85717,7.0,1996-07-15,Lutjanidae,Lutjanus,Animalia,,True,7.0,7.0,2017-01-15,present,Eupercaria incertae sedis,Chordata,Lutjanus mahogoni,Lutjanus mahogoni,[],17.0,5457,26.89,36.1,False,Vertebrata
MaterialSample,Polychaeta,1404086400000.0,1398902400000.0,2014.0,73.14148035555556,18.73636145833333,425.0,2014-05/2014-06,Paraonidae,Levinsenia,Animalia,Bone,True,425.0,425.0,,present,,Annelida,Levinsenia gracilis,Levinsenia gracilis,[],424.4,133442,6.54,35.02,False,
HumanObservation,Teleostei,823046400000.0,809913600000.0,1995.0,-19.0488,178.1209,6.0,1995-09/1996-01,Labridae,Cheilinus,Animalia,Namuana and Boutalevu and Tavuki,True,6.0,6.0,,present,Eupercaria incertae sedis,Chordata,Cheilinus trilobatus,Cheilinus trilobatus,[],-1.0,235,27.0,34.75,True,Vertebrata
MachineObservation,Teleostei,488160000000.0,488160000000.0,1985.0,-19.3,117.65,84.0,1985-06-21,Caesionidae,,Animalia,,True,84.0,84.0,2023-10-27 00:01:12,present,Eupercaria incertae sedis,Chordata,Caesionidae,,[],89.0,127824,27.17,34.94,True,Vertebrata
HumanObservation,Copepoda,,,,43.87,-62.91,95.0,,Calanidae,Calanus,Animalia,,True,100.0,90.0,2013-05-31T15:13:20Z,,Calanoida,Arthropoda,Calanus finmarchicus,Calanus finmarchicus,[],268.0,81521,9.8,30.61,False,Crustacea
HumanObservation,Teleostei,431568000000.0,431568000000.0,1983.0,49.96,-55.6,9.0,1983-09-05,Gadidae,Gadus,Animalia,NAFO 3KH,True,9.0,,2015-10-05,present,Gadiformes,Chordata,Gadus morhua,Gadus morhua,[],-11.0,160,4.9,31.3,True,Vertebrata
HumanObservation,Aves,879120000000.0,879120000000.0,1997.0,-56.5260009766,-68.6890029907,0.0,1997-11-10T12:00:00Z,Diomedeidae,Thalassarche,Animalia,Diego Ramirez,True,0.0,0.0,,,Procellariiformes,Chordata,Thalassarche melanophris,Thalassarche melanophris,[],64.0,505,6.78,33.94,,Vertebrata
Occurrence,Teleostei,1164240000000.0,1164240000000.0,2006.0,50.2996,-10.0261,64.5,2006-11-23T12:38:00,Merlucciidae,Merluccius,Animalia,,True,129.0,0.0,2025-05-13 16:20:21,present,Gadiformes,Chordata,Merluccius merluccius,Merluccius merluccius,[],144.0,124697,13.21,35.39,False,Vertebrata
MaterialSample,Alphaproteobacteria,1463270400000.0,1463270400000.0,2016.0,-54.99755,-169.99665,4917.2,2016-05-15T03:00:00Z,,,Bacteria,2501,True,4917.2,4917.2,2022-08-02T22:57:29Z,present,,Proteobacteria,Alphaproteobacteria,,[],4813.0,960139,5.67,34.05,True,
Occurrence,Polychaeta,993859200000.0,991353600000.0,2001.0,63.2282471,5.9948771,133.0,2001-06,Scalibregmatidae,Lipobranchius,Animalia,o45,True,,133.0,2008-10-30 00:00:00,present,,Annelida,Lipobranchius jeffreysii,Lipobranchius jeffreysii,[],129.6,45300,9.51,34.11,False,
Occurrence,Elasmobranchii,683596800000.0,683596800000.0,1991.0,59.25,0.8333,145.0,1991-08-31T05:08:00+00:00,Rajidae,Amblyraja,Animalia,,True,145.0,,2011-01-01 00:00:00,present,Rajiformes,Chordata,Amblyraja radiata,Amblyraja radiata,[],133.4,136305,10.08,35.14,True,Vertebrata
PreservedSpecimen,Bacillariophyceae,1479513600000.0,1479513600000.0,2016.0,52.56,3.6,7.5,2016-11-19T03:11:00+00:00,Paraliaceae,Paralia,Chromista,,True,10.0,5.0,2020-09-01 12:26:06,present,Paraliales,Heterokontophyta,Paralia sulcata,Paralia sulcata,[],29.0,63973,12.02,33.39,False,Bacillariophytina
Occurrence,Sagittoidea,198979200000.0,198979200000.0,1976.0,36.725,18.83333333333333,19.5,1976-04-22,Sagittidae,Sagitta,Animalia,,True,28.0,11.0,2009-11-20 20:20:00,present,Aphragmophora,Chaetognatha,Sagitta,,[],3609.6,199340,20.92,38.37,,
Occurrence,Copepoda,1400716800000.0,1400716800000.0,2014.0,64.71083,22.06967,59.0,2014-05-22T07:15:00,,,Animalia,,True,118.0,0.0,2025-05-13 16:20:21,present,Harpacticoida,Arthropoda,Harpacticoida,,[],116.6,29751,5.86,4.25,True,Crustacea
Occurrence,Teleostei,836438400000.0,836438400000.0,1996.0,43.7718,-63.0908,64.5,1996-07-04T21:31:00,Sebastidae,Sebastes,Animalia,,True,129.0,0.0,2023-11-24 15:33:32,present,Perciformes,Chordata,Sebastes,,[],252.0,82594,9.71,30.66,True,Vertebrata
MachineObservation,Copepoda,1315699200000.0,1315699200000.0,2011.0,6.36365,-153.0345,260.5,2011-09-11T06:17:00+00:00,Sapphirinidae,Copilia,Animalia,,True,521.0,0.0,2021-05-05 07:59:08,present,Cyclopoida,Arthropoda,Copilia,,[],4920.0,679724,27.73,34.72,False,Crustacea
MaterialSample,Alphaproteobacteria,1355788800000.0,1355788800000.0,2012.0,-34.11923,151.22667,100.0,2012-12-18T12:31:00Z,Rhodobacteraceae,,Bacteria,Port Hacking,True,100.0,100.0,2022-07-30T16:29:25Z,present,Rhodobacterales,Proteobacteria,Rhodobacteraceae,,[],110.0,6160,20.37,35.54,True,
MaterialSample,Thaumarchaeota incertae sedis,1473724800000.0,1473724800000.0,2016.0,-31.49763,153.32863,300.0,2016-09-13T21:00:13Z,Nitrosopumilaceae,,Archaea,Drift Study - EAC,True,300.0,300.0,2022-06-27T20:46:56Z,present,Nitrosopumilales,Thaumarchaeota,Nitrosopumilaceae,,[],1611.0,37082,22.9,35.49,,
MaterialSample,Thaumarchaeota incertae sedis,1473897600000.0,1473897600000.0,2016.0,-32.56697,153.11782,60.0,2016-09-15T02:08:41Z,Nitrosopumilaceae,,Archaea,Drift Study - EAC,True,60.0,60.0,2022-06-27T22:20:54Z,present,Nitrosopumilales,Thaumarchaeota,Nitrosopumilaceae,,[],2318.0,54174,22.39,35.53,,
Occurrence,Teleostei,1385251200000.0,1385251200000.0,2013.0,50.371,-10.8199,106.5,2013-11-24T13:05:00,Gadidae,Trisopterus,Animalia,,True,213.0,0.0,2025-05-13 16:20:21,present,Gadiformes,Chordata,Trisopterus minutus,Trisopterus minutus,[],212.4,138812,13.48,35.49,False,Vertebrata
MaterialSample,Sordariomycetes,1092009600000.0,1092009600000.0,2004.0,50.25,-4.217,10.0,2004-08-09,,,Fungi,,True,10.0,10.0,,,Sordariomycetes incertae sedis,Ascomycota,Sordariomycetes incertae sedis,,['NO_ACCEPTED_NAME'],51.0,6836,12.86,34.79,,Pezizomycotina
MaterialSample,Copepoda,1473033600000.0,1473033600000.0,2016.0,-36.31653,150.28297,30.0,2016-09-05T04:53:52Z,,,Animalia,Upwelling?,True,30.0,30.0,2022-06-27T16:07:38Z,present,Calanoida,Arthropoda,Calanoida,,[],136.0,8012,19.16,35.59,True,Crustacea
Occurrence,Globothalamea,321580800000.0,321580800000.0,1980.0,-30.2765,-35.285,170.0,1980-03-11,Globigerinidae,Turborotalita,Chromista,,True,,170.0,2005-02-08 00:00:00,present,Rotaliida,Foraminifera,Turborotalita quinqueloba,Turborotalita quinqueloba,[],1307.0,1046903,21.4,35.86,False,
HumanObservation,Mammalia,1626393600000.0,1626393600000.0,2021.0,57.60425,-6.962483,0.0,2021-07-16T17:15:00,Delphinidae,Delphinus,Animalia,,True,0.0,0.0,,present,Cetartiodactyla,Chordata,Delphinus delphis,Delphinus delphis,[],104.6,6994,10.52,35.01,,Vertebrata
HumanObservation,Malacostraca,,,,45.21,-61.19,12.8,,Nephropidae,Homarus,Animalia,Scotian Shelf and the bay of Fundy,True,12.8,12.8,2013-03-23T18:00:000Z,,Decapoda,Arthropoda,Homarus americanus,Homarus americanus,[],-1.0,107,8.34,29.68,False,Crustacea
MATERIAL_SAMPLE,Oligohymenophorea,1457654400000.0,1457654400000.0,2016.0,-34.1192,151.2267,100.0,2016-03-11,Foettingeriidae,,Chromista,Port Hacking NRS,True,100.0,100.0,,,Apostomatida,Ciliophora,Foettingeriidae,,[],110.0,6161,20.37,35.54,False,Intramacronucleata
HumanObservation,Teleostei,1167523200000.0,1136073600000.0,2006.0,-3.859602,-33.81807,2.5,2006,Labridae,Halichoeres,Animalia,Barretinha,True,2.5,,,,Eupercaria incertae sedis,Chordata,Halichoeres radiatus,Halichoeres radiatus,['ON_LAND'],7.0,-44,27.68,36.0,True,Vertebrata
Occurrence,Bivalvia,656208000000.0,656208000000.0,1990.0,56.2427,10.3687,13.0,1990-10-18,Lasaeidae,Kurtiella,Animalia,,True,13.0,13.0,1990-10-18 00:00:00,present,Galeommatida,Mollusca,Kurtiella bidentata,Kurtiella bidentata,[],12.4,1130,10.2,18.82,False,
MATERIAL_SAMPLE,Gammaproteobacteria,1464566400000.0,1464566400000.0,2016.0,-39.5151,-172.4141,997.0,2016-05-30,,,Bacteria,,True,997.0,997.0,,,Oceanospirillales,Proteobacteria,Oceanospirillales,,[],4693.0,564315,15.6,35.11,,
MaterialSample,Teleostei,1009843200000.0,1009843200000.0,2002.0,50.13733,0.5517224,35.0,2002-01-01,Gadidae,Trisopterus,Animalia,,True,35.0,,,present,Gadiformes,Chordata,Trisopterus minutus,Trisopterus minutus,[],32.4,30992,12.83,34.32,False,Vertebrata
MaterialSample,Polychaeta,1404086400000.0,1398902400000.0,2014.0,61.038271413888886,2.340416652777778,129.0,2014-05/2014-06,Ampharetidae,Ampharete,Animalia,Valemon,True,129.0,129.0,,present,Terebellida,Annelida,Ampharete octocirrata,Ampharete octocirrata,[],133.8,116274,10.24,35.23,False,
MATERIAL_SAMPLE,Polycystina,1263945600000.0,1263945600000.0,2010.0,18.3967,39.8767,5.0,2010-01-20,Collozoidae,Collozoum,Chromista,,True,5.0,5.0,,,Nassellaria,Radiozoa,Collozoum pelagicum,Collozoum pelagicum,['NO_ACCEPTED_NAME'],1528.0,72578,29.52,36.94,,
Occurrence,Teleostei,349142400000.0,349142400000.0,1981.0,57.15,8.2833,32.0,1981-01-24T09:13:00+00:00,Clupeidae,Clupea,Animalia,,True,32.0,,2011-01-01 00:00:00,present,Clupeiformes,Chordata,Clupea harengus,Clupea harengus,[],30.0,16544,10.62,33.36,True,Vertebrata
PreservedSpecimen,Copepoda,1500076800000.0,1500076800000.0,2017.0,57.358,9.097,7.5,2017-07-15T08:19:00+00:00,,,Animalia,,True,10.0,5.0,2020-09-01 12:26:06,present,Calanoida,Arthropoda,Calanoida,,[],20.0,22539,10.61,33.14,True,Crustacea
Occurrence,Malacostraca,632620800000.0,632620800000.0,1990.0,51.401173,4.11332,-1.1,1990-01-18,Bathyporeiidae,Bathyporeia,Animalia,Westerschelde,True,-1.1,-1.1,2023-04-05 17:28:04,present,Amphipoda,Arthropoda,Bathyporeia,,[],-1.0,83,12.13,30.56,,Crustacea
MaterialSample,Alphaproteobacteria,1424822400000.0,1424822400000.0,2015.0,-34.11923,151.22667,0.0,2015-02-25T12:37:00Z,,,Bacteria,Port Hacking,True,0.0,0.0,2022-07-30T18:06:54Z,present,,Proteobacteria,Alphaproteobacteria,,[],110.0,6160,20.37,35.54,True,
HumanObservation,Teleostei,1451520000000.0,1420070400000.0,2015.0,-3.846539,-32.44057,19.0,2015,Gobiidae,Elacatinus,Animalia,Laje-Dois-Irmaos,True,19.0,,,,Gobiiformes,Chordata,Elacatinus phthirophagus,Elacatinus phthirophagus,[],-3.0,257,27.6,35.99,False,Vertebrata
MaterialSample,Malacostraca,1683417600000.0,1683417600000.0,2023.0,53.473667592328,-3.059607137569,8.69,2023-05-07,,,Animalia,,True,8.69,8.69,,present,Decapoda,Arthropoda,Brachyura,,[],4.2,1148,11.41,33.13,True,Crustacea
MaterialSample,Alphaproteobacteria,1605657600000.0,1605657600000.0,2020.0,-42.59667,148.23333,85.0,2020-11-18T22:45:00Z,,,Bacteria,Maria Island,True,85.0,85.0,2022-06-23T18:33:40Z,present,,Proteobacteria,Alphaproteobacteria,,[],85.0,7753,14.65,35.3,True,
PreservedSpecimen,Gastropoda,1158278400000.0,1158278400000.0,2006.0,-15.550736,167.21313,62.5,2006-09-15T02:00Z,Columbellidae,Mitrella,Animalia,E  Aoré I.,True,80.0,45.0,2015-06-19T21:23Z,present,Neogastropoda,Mollusca,Mitrella pudica,Mitrella pudica,[],45.0,940,28.08,34.53,,
Occurrence,Dinophyceae,1567382400000.0,1567382400000.0,2019.0,54.52166667,10.04166667,1.0,2019-09-02T09:38:00,Gymnodiniales incertae sedis,Lebouridinium,Chromista,,True,1.0,1.0,2025-05-13 16:20:21,present,Gymnodiniales,Myzozoa,Lebouridinium glaucum,Lebouridinium glaucum,[],28.0,2487,10.48,12.25,,Dinozoa
Occurrence,Teleostei,1258848000000.0,1258848000000.0,2009.0,57.1338,-6.716,130.0,2009-11-22T14:45:00+00:00,Merlucciidae,Merluccius,Animalia,,True,130.0,,2010-11-05 13:22:00,present,Gadiformes,Chordata,Merluccius merluccius,Merluccius merluccius,[],132.2,10827,10.76,34.9,False,Vertebrata
HumanObservation,Ostracoda,820368000000.0,725846400000.0,1994.0,-36.842,174.771,10.5,1993/1995,,Swansonites,Animalia,Waitemata Harbour,True,10.5,10.5,,present,,Arthropoda,Swansonites aequa,Swansonites aequa,[],-23.0,21,16.98,35.4,False,Crustacea
HumanObservation,Phaeophyceae,1189036800000.0,1189036800000.0,2007.0,35.472387,-121.029631,7.5,2007-09-06,Lessoniaceae,Egregia,Chromista,ESTERO_CEN,True,7.5,7.5,2021-11-30 14:51:25,present,Laminariales,Ochrophyta,Egregia menziesii,Egregia menziesii,[],18.0,1014,13.43,33.22,,
MATERIAL_SAMPLE,Pelagophyceae,1277769600000.0,1277769600000.0,2010.0,-17.4962,42.2173,5.0,2010-06-29,,,Chromista,,True,5.0,5.0,,,Pelagomonadales,Ochrophyta,Pelagomonadales,,[],1699.0,71579,27.53,34.98,,
HumanObservation,Aves,518227200000.0,518227200000.0,1986.0,-24.1134,152.71438,0.0,1986-06-04,Laridae,Larus,Animalia,Lady Elliot Island,True,0.0,0.0,2022-05-24 09:56:36,present,Charadriiformes,Chordata,Larus novaehollandiae,Larus novaehollandiae,['ON_LAND'],-7.47,-285,24.37,35.35,,Vertebrata
MaterialSample,Thermoplasmata,1437609600000.0,1437609600000.0,2015.0,-32.0,115.41667,20.0,2015-07-23T15:20:00Z,,,Archaea,Rottnest Island,True,20.0,20.0,2022-08-01T06:14:30Z,present,,Euryarchaeota,Thermoplasmata,,[],43.0,3903,20.89,35.53,,
PreservedSpecimen,Polychaeta,1031875200000.0,1031875200000.0,2002.0,52.1478,3.7495,7.5,2002-09-13T06:31:00+00:00,,,Animalia,,True,10.0,5.0,2020-09-01 12:26:06,present,,Annelida,Polychaeta,,[],24.4,24145,12.11,31.46,True,
MATERIAL_SAMPLE,Dinophyceae,1463529600000.0,1463529600000.0,2016.0,-50.007,-169.9925,36.0,2016-05-18,Amphidomataceae,,Chromista,,True,36.0,36.0,,,Gonyaulacales,Myzozoa,Amphidomataceae,,[],5290.0,770093,9.5,34.39,,Dinozoa
MachineObservation,Copepoda,,,,34.682718,139.444779,20.0,2015-11-10T18:13:44.35+09:00,,,Animalia,,True,20.0,20.0,2023-03-27T11:47:31.503272+09:00,Present,,Arthropoda,Copepoda,,[],231.0,21,20.68,34.11,True,Crustacea
MaterialSample,Thermoplasmata,1287964800000.0,1287964800000.0,2010.0,-32.29865,154.38861,55.0,2010-10-25T19:45:00Z,,,Archaea,Tasman Sea - Cold core eddy,True,55.0,55.0,2022-06-25T10:21:07Z,present,,Euryarchaeota,Thermoplasmata,,[],4764.0,162041,22.4,35.57,,
Occurrence,Bacillariophyceae,880848000000.0,880848000000.0,1997.0,42.7696,-68.7053,7.5,1997-11-30,Chaetocerotaceae,Chaetoceros,Chromista,,True,10.0,5.0,2012-05-30 00:00:00,present,Chaetocerotanae incertae sedis,Heterokontophyta,Chaetoceros,,[],201.0,113243,11.15,32.05,True,Bacillariophytina
PreservedSpecimen,Gastropoda,1067558400000.0,1067558400000.0,2003.0,-23.098,-44.407,23.0,2003-10-31T12:00:00Z,Cerithiopsidae,Cerithiopsis,Animalia,Laje do Coronel,True,23.0,23.0,,,Caenogastropoda incertae sedis,Mollusca,Cerithiopsis,,[],11.0,3092,23.86,36.0,True,
PreservedSpecimen,Malacostraca,458870400000.0,458870400000.0,1984.0,28.9169998169,-82.6999969482,1.315,1984-07-17T12:00:00Z,Unciolidae,Rudilemboides,Animalia,"Crystal Bay, Extended About 16 Km Offshore From Crystal River Power Plant",True,2.17,0.46,,,Amphipoda,Arthropoda,Rudilemboides naglei,Rudilemboides naglei,[],2.0,176,23.96,35.27,False,Crustacea
HumanObservation,Polychaeta,1211932800000.0,1211932800000.0,2008.0,59.1202,-5.085593,65.0,2008-05-28,Serpulidae,Salmacina,Animalia,,True,,65.0,2022-01-18 09:29:51,present,Sabellida,Annelida,Salmacina dysteri,Salmacina dysteri,[],65.6,34700,10.58,35.26,False,
Occurrence,Teleostei,1312070400000.0,1312070400000.0,2011.0,45.789,-58.1215,62.0,2011-07-31T00:31:00,Sebastidae,Sebastes,Animalia,,True,124.0,0.0,2023-11-24 15:33:32,present,Perciformes,Chordata,Sebastes,,[],234.0,122264,7.84,31.22,True,Vertebrata
PreservedSpecimen,Copepoda,541468800000.0,541468800000.0,1987.0,-12.65,141.65,12.0,1987-02-28T18:23:00Z,Oithonidae,Oithona,Animalia,,True,12.0,12.0,2017-06-29T12:33:26,present,Cyclopoida,Arthropoda,Oithona,,[],12.0,7719,27.76,34.16,True,Crustacea
